"STATE","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+"
"Alaska",104717,98261,111723,108554,86025,94146,83339,34977,15696
"Maine",131270,149874,153580,160310,158300,200748,200651,117404,66267
"North.Carolina",1217818,1381330,1403825,1324266,1343773,1359109,1222766,763865,366868
"Missouri",744145,793122,828519,789856,720095,802348,739040,460262,249065
"Pennsylvania",1408579,1591448,1679431,1603332,1524443,1772676,1633653,988676,604822
"Michigan",1156194,1279583,1379573,1204044,1193666,1361439,1272037,745232,404147
"Nebraska",261017,269378,260597,260672,223543,230952,220623,122274,80212
"Oregon",467429,505917,565247,580682,538038,517220,536181,316817,163182
"Wyoming",70332,81389,71863,77843,66380,71942,77290,41078,19620
"California",4827387,5203566,5827947,5681425,5069485,4983522,4153031,2405757,1404925
"Mississippi",369352,435216,403265,381401,358250,371973,348217,218725,100131
"Connecticut",373103,466320,462834,438861,445483,520294,439680,268451,157639
"Texas",3995200,4240863,4116873,4084900,3719332,3405652,2770692,1570512,797821
"Idaho",237652,256959,233480,221709,211158,210424,199909,124597,58320
"Maryland",726006,765205,798556,822869,764913,840249,696985,412495,215440
"New.Mexico",246289,293795,279014,275417,238731,257529,258576,162754,83323
"Alabama",578958,653639,650204,599012,607930,648993,589317,376093,183725
"Tennessee",817611,874230,921525,864000,858725,883409,812377,494659,243474
"Vermont",60829,76167,82130,73280,71637,89347,92162,54456,26291
"Nevada",373419,384023,406362,423110,401582,384389,344816,219584,97107
"West.Virginia",191125,220166,222528,207144,226954,245497,258876,152272,81270
"Oklahoma",520152,548947,547318,523845,460986,484232,437391,271970,148238
"Wisconsin",673405,753334,767109,739018,681861,807103,733958,413449,244331
"Puerto.Rico",293266,391097,429478,360861,416666,431206,398978,302887,170714
"Kansas",377465,413610,402050,369837,341997,360602,341031,185335,119583
"Virginia",1016881,1099081,1166050,1162715,1091918,1133790,974170,570334,302746
"North.Dakota",102979,93729,123896,105815,80942,90496,83515,45103,33602
"New.Jersey",1035599,1129404,1133920,1155812,1163770,1267743,1034076,622160,366036
"Ohio",1384255,1525511,1553222,1454220,1407290,1572265,1454496,858214,479969
"South.Carolina",594896,664078,672516,631389,623095,669878,631328,413717,183230
"Georgia",1328530,1493395,1465791,1409383,1400461,1351223,1111318,659574,299800
"Colorado",687787,733368,821405,849227,742441,704478,633171,350403,173284
"Hawaii",171871,162436,194136,192560,172127,172023,178444,106212,70682
"South.Dakota",119192,121402,120221,110462,96604,109047,107866,59811,37630
"Indiana",847929,910617,922579,852936,807731,872262,776638,452753,248433
"Kentucky",553467,574777,609323,551820,557778,594534,539821,318327,168555
"Louisiana",599296,626056,637800,633822,551407,591735,551153,311370,157339
"Washington",924681,920670,1062890,1105669,939717,945544,868645,516618,251157
"Illinois",1521693,1673985,1737509,1713775,1612546,1676773,1456423,857033,491343
"Iowa",395337,435881,422550,401443,356163,401156,376620,223460,143535
"New.Hampshire",131792,168704,170696,161694,164667,212243,183910,106244,56508
"Rhode.Island",111121,129978,152384,135047,123877,146916,131777,77923,48292
"Arkansas",380615,411523,403465,378913,361076,382661,350252,231663,113657
"Delaware",106163,121755,125599,120752,110921,133686,127434,84377,36484
"Minnesota",715645,726755,735076,768034,667495,754213,651365,370510,222086
"Montana",123420,135302,136476,134900,119092,133144,148430,89371,42170
"Arizona",875645,966044,1002625,918719,863896,849288,827577,583198,284654
"Florida",2262994,2478616,2675569,2663449,2613418,2839631,2698077,1949543,1118028
"Massachusetts",726501,849939,1000096,919060,849793,968644,816335,486934,284847
"District.of.Columbia",78347,70954,135408,144199,81418,73350,58990,39157,20632
"Utah",507304,521125,506623,444707,383913,298284,268538,150674,79937
"New.York",2218821,2356988,2775286,2659365,2403748,2647543,2267142,1386160,827156
